customer_id,customer_name,age,gender,related_purchases,job_title,job_industry_category,wealth_segment,owns_car,tenure
1,Laraine-Medendorp,68,Female,93,Executive Secretary,Health,Mass Customer,Yes,11
2,Eli-Bockman,41,Male,81,Administrative Officer,Financial Services,Mass Customer,Yes,16
3,Arlin-Dearle,67,Male,61,Recruiting Manager,Property,Mass Customer,Yes,15
9,Mala-Lind,48,Female,97,Business Systems Development Analyst,Argiculture,Affluent Customer,Yes,8
10,Fiorenze-Birdall,33,Female,49,Senior Quality Engineer,Financial Services,Mass Customer,Yes,20
12,Sawyere-Flattman,27,Male,58,Nuclear Power Engineer,Manufacturing,Mass Customer,No,8
13,Gabriele-Norcross,66,Male,38,Developer I,Financial Services,High Net Worth,Yes,8
14,Rayshell-Kitteman,38,Female,85,Account Executive,Financial Services,Affluent Customer,No,6
15,Erroll-Radage,21,Male,91,Junior Executive,Manufacturing,Mass Customer,No,1
19,Sorcha-Keyson,20,Female,76,Geological Engineer,Manufacturing,High Net Worth,No,1
20,Basile-Firth,41,Male,72,Project Manager,Manufacturing,Mass Customer,No,11
21,Mile-Cammocke,41,Male,74,Safety Technician I,Manufacturing,Affluent Customer,Yes,16
24,Kim-Skpsey,44,Female,55,Research Assistant I,Argiculture,Mass Customer,Yes,15
25,Geoff-Assaf,45,Male,72,Accounting Assistant III,Financial Services,Mass Customer,Yes,21
26,Trixi-Ginnelly,43,Female,12,Editor,Financial Services,Mass Customer,Yes,16
27,Garvin-Klees,43,Male,37,Research Nurse,Health,Mass Customer,Yes,12
28,Fee-Zellmer,48,Male,5,Senior Quality Engineer,Health,Affluent Customer,Yes,21
29,Mona-Sancraft,53,Female,62,Safety Technician III,Manufacturing,Mass Customer,No,19
31,Star-Praton,59,Female,3,Staff Accountant III,Telecommunications,High Net Worth,Yes,14
32,Marion-Vanichkin,26,Female,17,Legal Assistant,Manufacturing,Affluent Customer,No,4
34,Jephthah-Bachmann,178,U,59,Legal Assistant,IT,Affluent Customer,No,20
35,Margaretha-Strettle,58,Female,40,Information Systems Manager,Health,High Net Worth,Yes,16
37,Laurie-Dwerryhouse,36,Female,46,Social Worker,Health,High Net Worth,No,16
38,Cordi-Merman,66,Female,37,Senior Cost Accountant,Financial Services,Affluent Customer,No,20
39,Hunfredo-Smalley,42,Male,5,Assistant Media Planner,Entertainment,Mass Customer,No,22
40,Tomasine-Jerche,40,Female,91,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,No,14
41,Basilius-Coupe,45,Male,64,Food Chemist,Health,Mass Customer,No,16
42,Chiquita-Durnall,44,Female,24,Accountant III,Manufacturing,Mass Customer,No,18
43,Indira-Belt,38,Female,38,Director of Sales,Retail,Mass Customer,No,5
44,Neron-Verick,40,Male,63,Assistant Media Planner,Entertainment,Affluent Customer,Yes,17
45,Trace-Woodhead,46,Male,64,Senior Financial Analyst,Financial Services,Mass Customer,No,8
47,Matthew-Jeaycock,29,Male,51,Registered Nurse,Health,Affluent Customer,No,2
50,Whitby-Schapero,41,Male,38,Account Executive,Manufacturing,Mass Customer,Yes,16
51,Fidelio-Dilke,62,Male,68,Computer Systems Analyst II,Retail,Mass Customer,No,18
53,Agnella-Gocke,67,Female,22,Software Test Engineer II,Financial Services,Mass Customer,No,16
54,Loralyn-Wonfor,55,Female,2,Sales Associate,Property,Mass Customer,Yes,18
55,Linc-Jillions,65,Male,48,Paralegal,Financial Services,Affluent Customer,Yes,7
56,Reese-Ensor,25,Male,44,VP Sales,Property,Mass Customer,Yes,4
58,Dalenna-Pinnock,54,Female,26,Office Assistant III,Financial Services,Affluent Customer,Yes,17
61,Kacey-Rowbottom,62,Female,47,Help Desk Operator,Property,High Net Worth,No,13
63,Ebony-Zini,56,Female,58,Senior Quality Engineer,Retail,Mass Customer,Yes,16
64,Gerek-Yve,43,Male,73,Legal Assistant,IT,High Net Worth,No,4
65,Yale-Tanser,45,Male,21,Information Systems Manager,Financial Services,Affluent Customer,Yes,15
66,Anselm-Gawne,19,Male,46,Account Executive,Argiculture,High Net Worth,No,1
70,Foster-Vannoort,28,Male,78,Paralegal,Financial Services,Affluent Customer,No,8
71,Hoyt-Glavias,36,Male,30,Research Associate,Argiculture,Affluent Customer,Yes,12
72,Sammy-Cheese,49,Male,93,Administrative Officer,Manufacturing,Affluent Customer,Yes,16
75,Dollie-Sealy,43,Female,28,VP Product Management,Property,Mass Customer,No,19
76,Rea-Hasser,43,Female,20,Statistician II,Retail,High Net Worth,Yes,18
77,Shermie-Andrin,32,Male,79,Automation Specialist IV,Financial Services,Mass Customer,No,7
78,Arch-Van der Kruis,36,Male,37,Business Systems Development Analyst,Argiculture,Affluent Customer,No,8
79,Tybi-Silliman,53,Female,76,Account Executive,Manufacturing,Mass Customer,No,18
80,Pablo-Small,43,Male,11,Data Coordiator,Entertainment,Mass Customer,No,13
82,Gleda-Cokely,56,Female,93,Software Test Engineer III,Property,High Net Worth,No,19
83,Kerr-Simmell,54,Male,97,Internal Auditor,IT,Mass Customer,Yes,18
86,Job-Sleney,32,Male,75,Occupational Therapist,Health,High Net Worth,Yes,7
87,Fields-Langdon,47,Male,78,Editor,Financial Services,Mass Customer,No,8
88,Malynda-Tumber,55,Female,41,Help Desk Operator,Property,High Net Worth,Yes,7
89,Benedicto-Hoxey,54,Male,74,Speech Pathologist,Health,Mass Customer,Yes,14
90,Cary-Garron,37,Male,76,Quality Control Specialist,Manufacturing,Mass Customer,No,11
91,Dylan-Meaker,66,Male,69,Senior Financial Analyst,Financial Services,Affluent Customer,Yes,17
92,Jodee-Judkins,41,Female,98,Recruiting Manager,Health,Mass Customer,No,12
93,Gordon-Gowar,45,Male,63,Project Manager,Retail,Mass Customer,Yes,10
94,Wallache-Simchenko,47,Male,33,Civil Engineer,Manufacturing,Mass Customer,No,21
95,Nomi-Mallinder,60,Female,67,Software Engineer III,Manufacturing,Affluent Customer,Yes,8
96,Heath-Olford,53,Male,33,Nuclear Power Engineer,Manufacturing,Mass Customer,No,15
97,Arne-Corain,42,Male,16,Community Outreach Specialist,Financial Services,Mass Customer,Yes,10
98,Allianora-Babalola,65,Female,19,Safety Technician IV,Health,Mass Customer,No,7
99,Reggie-Mulliner,23,Male,97,VP Accounting,Financial Services,Mass Customer,No,3
100,Tripp-Steed,53,Male,80,General Manager,Financial Services,Mass Customer,Yes,4
101,Goran-Kwietek,45,Male,83,Nurse Practicioner,Manufacturing,High Net Worth,No,11
102,Langsdon-Tranfield,65,Male,51,Quality Control Specialist,Manufacturing,Affluent Customer,No,16
103,Ethyl-Runham,24,Female,49,Product Engineer,Financial Services,Affluent Customer,Yes,4
104,Odille-Panketh,43,Female,40,Automation Specialist II,Health,Mass Customer,Yes,9
105,Maribeth-Pristnor,20,Female,25,Recruiting Manager,Manufacturing,Mass Customer,No,1
107,Pris-Stallebrass,31,Female,97,Nurse Practicioner,Financial Services,Mass Customer,Yes,9
112,Shena-Parren,46,Female,88,Marketing Manager,Retail,High Net Worth,No,12
114,Sunny-Swindells,36,Female,10,Teacher,Entertainment,Affluent Customer,No,8
115,Alberik-Mereweather,40,Male,77,Account Executive,Health,Mass Customer,No,18
116,Scottie-Swiffen,22,Male,49,Assistant Professor,Manufacturing,Affluent Customer,Yes,2
117,Nance-Suttling,39,Female,75,Marketing Manager,Manufacturing,Mass Customer,No,15
120,Sloan-Wagg,43,Male,80,Legal Assistant,Financial Services,High Net Worth,Yes,4
121,Myles-Pauncefort,64,Male,82,Graphic Designer,Manufacturing,Mass Customer,No,15
122,Colver-Itter,42,Male,87,Quality Control Specialist,Financial Services,Mass Customer,Yes,12
123,Almeta-Kalinsky,33,Female,85,Analyst Programmer,Financial Services,High Net Worth,No,15
124,Kath-Cunney,26,Female,27,Administrative Assistant II,Health,High Net Worth,Yes,5
125,Darrelle-Antoniewski,61,Female,94,Computer Systems Analyst II,Property,Mass Customer,No,16
126,Norman-Cliff,29,Male,53,Administrative Officer,Health,Mass Customer,Yes,3
127,Merrili-Whitear,47,Female,81,Compensation Analyst,Financial Services,Mass Customer,No,19
128,Isidro-Cypler,44,Male,73,Systems Administrator III,Property,Mass Customer,Yes,12
129,Weidar-Silkstone,36,Male,64,Financial Advisor,Financial Services,High Net Worth,Yes,19
130,Raddy-Delete,24,Male,32,Chemical Engineer,Manufacturing,Mass Customer,No,1
131,Jana-Renyard,57,Female,57,Administrative Officer,Retail,High Net Worth,No,8
132,Celesta-Willavoys,58,Female,5,Web Designer I,Manufacturing,Mass Customer,Yes,9
133,Eldridge-Fiddeman,44,Male,12,VP Accounting,Financial Services,Mass Customer,Yes,16
134,Merna-McCulloch,24,Female,34,Legal Assistant,Telecommunications,Affluent Customer,Yes,5
